Measure Names,Month of MONTH,ROUTE_NAME,Measure Values
Monthly Route Recovery,February 2024,1 California,0.777145478
Route Monthly Total Boardings (accessible copy),February 2024,1 California,"433,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,1 California,"557,000"
Monthly Route Recovery,January 2024,1 California,0.743741843
Route Monthly Total Boardings (accessible copy),January 2024,1 California,"447,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,1 California,"600,000"
Monthly Route Recovery,December 2023,1 California,0.738637904
Route Monthly Total Boardings (accessible copy),December 2023,1 California,"418,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,1 California,"566,000"
Monthly Route Recovery,November 2023,1 California,0.740960510
Route Monthly Total Boardings (accessible copy),November 2023,1 California,"414,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,1 California,"558,000"
Monthly Route Recovery,October 2023,1 California,0.750906258
Route Monthly Total Boardings (accessible copy),October 2023,1 California,"479,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,1 California,"638,000"
Monthly Route Recovery,September 2023,1 California,0.762065236
Route Monthly Total Boardings (accessible copy),September 2023,1 California,"459,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,1 California,"602,000"
Monthly Route Recovery,August 2023,1 California,0.757364283
Route Monthly Total Boardings (accessible copy),August 2023,1 California,"470,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,1 California,"621,000"
Monthly Route Recovery,July 2023,1 California,0.726565007
Route Monthly Total Boardings (accessible copy),July 2023,1 California,"429,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,1 California,"590,000"
Monthly Route Recovery,June 2023,1 California,0.721292591
Route Monthly Total Boardings (accessible copy),June 2023,1 California,"428,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,1 California,"594,000"
Monthly Route Recovery,May 2023,1 California,0.708082395
Route Monthly Total Boardings (accessible copy),May 2023,1 California,"429,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,1 California,"605,000"
Monthly Route Recovery,April 2023,1 California,0.692654086
Route Monthly Total Boardings (accessible copy),April 2023,1 California,"400,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,1 California,"578,000"
Monthly Route Recovery,March 2023,1 California,0.643450963
Route Monthly Total Boardings (accessible copy),March 2023,1 California,"404,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,1 California,"628,000"
Monthly Route Recovery,February 2023,1 California,0.664423295
Route Monthly Total Boardings (accessible copy),February 2023,1 California,"370,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,1 California,"557,000"
Monthly Route Recovery,February 2024,2 Sutter,0.470797663
Route Monthly Total Boardings (accessible copy),February 2024,2 Sutter,"60,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,2 Sutter,"126,000"
Monthly Route Recovery,January 2024,2 Sutter,0.441780448
Route Monthly Total Boardings (accessible copy),January 2024,2 Sutter,"59,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,2 Sutter,"134,000"
Monthly Route Recovery,December 2023,2 Sutter,0.487511350
Route Monthly Total Boardings (accessible copy),December 2023,2 Sutter,"56,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,2 Sutter,"115,000"
Monthly Route Recovery,November 2023,2 Sutter,0.482783971
Route Monthly Total Boardings (accessible copy),November 2023,2 Sutter,"58,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,2 Sutter,"120,000"
Monthly Route Recovery,October 2023,2 Sutter,0.466154531
Route Monthly Total Boardings (accessible copy),October 2023,2 Sutter,"63,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,2 Sutter,"134,000"
Monthly Route Recovery,September 2023,2 Sutter,0.520267368
Route Monthly Total Boardings (accessible copy),September 2023,2 Sutter,"61,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,2 Sutter,"116,000"
Monthly Route Recovery,August 2023,2 Sutter,0.476458349
Route Monthly Total Boardings (accessible copy),August 2023,2 Sutter,"62,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,2 Sutter,"129,000"
Monthly Route Recovery,July 2023,2 Sutter,0.459356995
Route Monthly Total Boardings (accessible copy),July 2023,2 Sutter,"57,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,2 Sutter,"125,000"
Monthly Route Recovery,June 2023,2 Sutter,0.404411836
Route Monthly Total Boardings (accessible copy),June 2023,2 Sutter,"54,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,2 Sutter,"134,000"
Monthly Route Recovery,May 2023,2 Sutter,0.406091576
Route Monthly Total Boardings (accessible copy),May 2023,2 Sutter,"56,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,2 Sutter,"138,000"
Monthly Route Recovery,April 2023,2 Sutter,0.404500363
Route Monthly Total Boardings (accessible copy),April 2023,2 Sutter,"55,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,2 Sutter,"136,000"
Monthly Route Recovery,March 2023,2 Sutter,0.369854296
Route Monthly Total Boardings (accessible copy),March 2023,2 Sutter,"52,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,2 Sutter,"140,000"
Monthly Route Recovery,February 2023,2 Sutter,0.358758441
Route Monthly Total Boardings (accessible copy),February 2023,2 Sutter,"45,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,2 Sutter,"126,000"
Monthly Route Recovery,February 2024,5 Fulton,0.967641422
Route Monthly Total Boardings (accessible copy),February 2024,5 Fulton,"227,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,5 Fulton,"235,000"
Monthly Route Recovery,January 2024,5 Fulton,0.881859401
Route Monthly Total Boardings (accessible copy),January 2024,5 Fulton,"222,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,5 Fulton,"251,000"
Monthly Route Recovery,December 2023,5 Fulton,0.905664667
Route Monthly Total Boardings (accessible copy),December 2023,5 Fulton,"223,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,5 Fulton,"246,000"
Monthly Route Recovery,November 2023,5 Fulton,0.813303862
Route Monthly Total Boardings (accessible copy),November 2023,5 Fulton,"226,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,5 Fulton,"278,000"
Monthly Route Recovery,October 2023,5 Fulton,0.851664591
Route Monthly Total Boardings (accessible copy),October 2023,5 Fulton,"261,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,5 Fulton,"306,000"
Monthly Route Recovery,September 2023,5 Fulton,0.890773632
Route Monthly Total Boardings (accessible copy),September 2023,5 Fulton,"269,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,5 Fulton,"302,000"
Monthly Route Recovery,August 2023,5 Fulton,0.952476819
Route Monthly Total Boardings (accessible copy),August 2023,5 Fulton,"269,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,5 Fulton,"283,000"
Monthly Route Recovery,July 2023,5 Fulton,0.933869634
Route Monthly Total Boardings (accessible copy),July 2023,5 Fulton,"254,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,5 Fulton,"272,000"
Monthly Route Recovery,June 2023,5 Fulton,0.853013131
Route Monthly Total Boardings (accessible copy),June 2023,5 Fulton,"226,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,5 Fulton,"265,000"
Monthly Route Recovery,May 2023,5 Fulton,0.848799069
Route Monthly Total Boardings (accessible copy),May 2023,5 Fulton,"243,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,5 Fulton,"286,000"
Monthly Route Recovery,April 2023,5 Fulton,0.879293963
Route Monthly Total Boardings (accessible copy),April 2023,5 Fulton,"252,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,5 Fulton,"286,000"
Monthly Route Recovery,March 2023,5 Fulton,0.788336223
Route Monthly Total Boardings (accessible copy),March 2023,5 Fulton,"224,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,5 Fulton,"284,000"
Monthly Route Recovery,February 2023,5 Fulton,0.904246121
Route Monthly Total Boardings (accessible copy),February 2023,5 Fulton,"213,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,5 Fulton,"235,000"
Monthly Route Recovery,February 2024,5R Fulton Rapid,0.561812730
Route Monthly Total Boardings (accessible copy),February 2024,5R Fulton Rapid,"146,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,5R Fulton Rapid,"259,000"
Monthly Route Recovery,January 2024,5R Fulton Rapid,0.528320785
Route Monthly Total Boardings (accessible copy),January 2024,5R Fulton Rapid,"143,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,5R Fulton Rapid,"271,000"
Monthly Route Recovery,December 2023,5R Fulton Rapid,0.560020602
Route Monthly Total Boardings (accessible copy),December 2023,5R Fulton Rapid,"128,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,5R Fulton Rapid,"228,000"
Monthly Route Recovery,November 2023,5R Fulton Rapid,0.546086005
Route Monthly Total Boardings (accessible copy),November 2023,5R Fulton Rapid,"141,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,5R Fulton Rapid,"258,000"
Monthly Route Recovery,October 2023,5R Fulton Rapid,0.513239932
Route Monthly Total Boardings (accessible copy),October 2023,5R Fulton Rapid,"165,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,5R Fulton Rapid,"322,000"
Monthly Route Recovery,September 2023,5R Fulton Rapid,0.586835120
Route Monthly Total Boardings (accessible copy),September 2023,5R Fulton Rapid,"163,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,5R Fulton Rapid,"278,000"
Monthly Route Recovery,August 2023,5R Fulton Rapid,0.645397677
Route Monthly Total Boardings (accessible copy),August 2023,5R Fulton Rapid,"180,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,5R Fulton Rapid,"279,000"
Monthly Route Recovery,July 2023,5R Fulton Rapid,0.523153719
Route Monthly Total Boardings (accessible copy),July 2023,5R Fulton Rapid,"139,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,5R Fulton Rapid,"265,000"
Monthly Route Recovery,June 2023,5R Fulton Rapid,0.582145474
Route Monthly Total Boardings (accessible copy),June 2023,5R Fulton Rapid,"146,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,5R Fulton Rapid,"251,000"
Monthly Route Recovery,May 2023,5R Fulton Rapid,0.553299990
Route Monthly Total Boardings (accessible copy),May 2023,5R Fulton Rapid,"159,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,5R Fulton Rapid,"288,000"
Monthly Route Recovery,April 2023,5R Fulton Rapid,0.474448863
Route Monthly Total Boardings (accessible copy),April 2023,5R Fulton Rapid,"149,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,5R Fulton Rapid,"313,000"
Monthly Route Recovery,March 2023,5R Fulton Rapid,0.566177912
Route Monthly Total Boardings (accessible copy),March 2023,5R Fulton Rapid,"155,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,5R Fulton Rapid,"274,000"
Monthly Route Recovery,February 2023,5R Fulton Rapid,0.499399012
Route Monthly Total Boardings (accessible copy),February 2023,5R Fulton Rapid,"129,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,5R Fulton Rapid,"259,000"
Monthly Route Recovery,February 2024,6 Haight/Parnassus,0.566040791
Route Monthly Total Boardings (accessible copy),February 2024,6 Haight/Parnassus,"119,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2024,6 Haight/Parnassus,"210,000"
Monthly Route Recovery,January 2024,6 Haight/Parnassus,0.548270932
Route Monthly Total Boardings (accessible copy),January 2024,6 Haight/Parnassus,"121,000"
Baseline Route Monthly Total Boardings (accessible copy),January 2024,6 Haight/Parnassus,"220,000"
Monthly Route Recovery,December 2023,6 Haight/Parnassus,0.569974470
Route Monthly Total Boardings (accessible copy),December 2023,6 Haight/Parnassus,"116,000"
Baseline Route Monthly Total Boardings (accessible copy),December 2023,6 Haight/Parnassus,"203,000"
Monthly Route Recovery,November 2023,6 Haight/Parnassus,0.508599952
Route Monthly Total Boardings (accessible copy),November 2023,6 Haight/Parnassus,"110,000"
Baseline Route Monthly Total Boardings (accessible copy),November 2023,6 Haight/Parnassus,"216,000"
Monthly Route Recovery,October 2023,6 Haight/Parnassus,0.453797445
Route Monthly Total Boardings (accessible copy),October 2023,6 Haight/Parnassus,"112,000"
Baseline Route Monthly Total Boardings (accessible copy),October 2023,6 Haight/Parnassus,"246,000"
Monthly Route Recovery,September 2023,6 Haight/Parnassus,0.515433786
Route Monthly Total Boardings (accessible copy),September 2023,6 Haight/Parnassus,"122,000"
Baseline Route Monthly Total Boardings (accessible copy),September 2023,6 Haight/Parnassus,"236,000"
Monthly Route Recovery,August 2023,6 Haight/Parnassus,0.518477965
Route Monthly Total Boardings (accessible copy),August 2023,6 Haight/Parnassus,"125,000"
Baseline Route Monthly Total Boardings (accessible copy),August 2023,6 Haight/Parnassus,"241,000"
Monthly Route Recovery,July 2023,6 Haight/Parnassus,0.489696967
Route Monthly Total Boardings (accessible copy),July 2023,6 Haight/Parnassus,"111,000"
Baseline Route Monthly Total Boardings (accessible copy),July 2023,6 Haight/Parnassus,"227,000"
Monthly Route Recovery,June 2023,6 Haight/Parnassus,0.500955732
Route Monthly Total Boardings (accessible copy),June 2023,6 Haight/Parnassus,"110,000"
Baseline Route Monthly Total Boardings (accessible copy),June 2023,6 Haight/Parnassus,"220,000"
Monthly Route Recovery,May 2023,6 Haight/Parnassus,0.513068701
Route Monthly Total Boardings (accessible copy),May 2023,6 Haight/Parnassus,"112,000"
Baseline Route Monthly Total Boardings (accessible copy),May 2023,6 Haight/Parnassus,"219,000"
Monthly Route Recovery,April 2023,6 Haight/Parnassus,0.463970268
Route Monthly Total Boardings (accessible copy),April 2023,6 Haight/Parnassus,"113,000"
Baseline Route Monthly Total Boardings (accessible copy),April 2023,6 Haight/Parnassus,"244,000"
Monthly Route Recovery,March 2023,6 Haight/Parnassus,0.484087594
Route Monthly Total Boardings (accessible copy),March 2023,6 Haight/Parnassus,"113,000"
Baseline Route Monthly Total Boardings (accessible copy),March 2023,6 Haight/Parnassus,"233,000"
Monthly Route Recovery,February 2023,6 Haight/Parnassus,0.469604814
Route Monthly Total Boardings (accessible copy),February 2023,6 Haight/Parnassus,"99,000"
Baseline Route Monthly Total Boardings (accessible copy),February 2023,6 Haight/Parnassus,"210,000"
Monthly Route Recovery,February 2024,7 Haight/Noriega,1.003290662
